,Temperature F,Number of Rides,Weather Description,index1,weekday
2014-07-10 18:00:00,80.86999999999996,33,broken clouds,2014-07-10 18:00:00,Thursday
2014-07-11 01:00:00,72.53599999999997,36,light rain,2014-07-11 01:00:00,Friday
2014-07-11 02:00:00,72.95,25,mist,2014-07-11 02:00:00,Friday
2014-07-11 03:00:00,72.59000000000002,22,mist,2014-07-11 03:00:00,Friday
2014-07-11 04:00:00,72.93200000000002,15,mist,2014-07-11 04:00:00,Friday
2014-07-11 07:00:00,70.79000000000002,48,mist,2014-07-11 07:00:00,Friday
2014-07-11 08:00:00,70.43000000000004,71,mist,2014-07-11 08:00:00,Friday
2014-07-11 09:00:00,70.03399999999999,58,mist,2014-07-11 09:00:00,Friday
2014-07-11 12:00:00,71.45600000000003,35,broken clouds,2014-07-11 12:00:00,Friday
2014-07-11 16:00:00,81.93200000000002,50,scattered clouds,2014-07-11 16:00:00,Friday
2014-07-11 17:00:00,83.37200000000004,44,scattered clouds,2014-07-11 17:00:00,Friday
2014-07-11 18:00:00,83.37200000000004,68,scattered clouds,2014-07-11 18:00:00,Friday
2014-07-12 01:00:00,75.092,79,scattered clouds,2014-07-12 01:00:00,Saturday
2014-07-12 02:00:00,73.32799999999996,51,sky is clear,2014-07-12 02:00:00,Saturday
2014-07-12 03:00:00,71.16799999999998,40,scattered clouds,2014-07-12 03:00:00,Saturday
2014-07-12 04:00:00,70.808,36,scattered clouds,2014-07-12 04:00:00,Saturday
2014-07-12 07:00:00,68.59399999999997,26,mist,2014-07-12 07:00:00,Saturday
2014-07-12 08:00:00,68.28800000000004,44,sky is clear,2014-07-12 08:00:00,Saturday
2014-07-12 09:00:00,68.45,46,mist,2014-07-12 09:00:00,Saturday
2014-07-12 12:00:00,73.66999999999996,52,fog,2014-07-12 12:00:00,Saturday
2014-07-12 16:00:00,83.73200000000001,59,scattered clouds,2014-07-12 16:00:00,Saturday
2014-07-12 17:00:00,84.81199999999995,56,scattered clouds,2014-07-12 17:00:00,Saturday
2014-07-12 18:00:00,84.91999999999996,56,scattered clouds,2014-07-12 18:00:00,Saturday
2014-07-13 01:00:00,79.06999999999996,68,broken clouds,2014-07-13 01:00:00,Sunday
2014-07-13 02:00:00,76.55,66,sky is clear,2014-07-13 02:00:00,Sunday
2014-07-13 03:00:00,75.83000000000004,59,broken clouds,2014-07-13 03:00:00,Sunday
2014-07-13 04:00:00,74.03000000000004,37,broken clouds,2014-07-13 04:00:00,Sunday
2014-07-13 07:00:00,72.24800000000002,27,broken clouds,2014-07-13 07:00:00,Sunday
2014-07-13 08:00:00,71.86999999999996,30,broken clouds,2014-07-13 08:00:00,Sunday
